strain	predicted_date
EM_NG_2016_029364	2016-03-17 14:27:31.497804
NODE_0000046	2016-03-09 09:09:46.373292
NODE_0000088	2016-03-20 04:03:26.713258
NZG_0393	2016-03-28 14:35:57.994996
NZG_0422	2016-03-31 14:51:30.404664
NZG_0358	2016-03-20 14:15:25.988160
EM_076610	2014-11-02 20:35:38.240205
NODE_0000043	2014-09-16 06:48:32.947999
EM_076534	2014-10-30 16:06:10.601808
EM_078608	2014-12-02 15:25:23.397218
EM_000501	2014-09-12 15:15:27.828370
EM_076322	2014-10-19 14:44:15.758058
EM_079388	2014-07-27 17:07:10.697022
EM_000218	2014-09-05 15:08:31.885987
NODE_0000059	2014-05-23 13:22:51.864854
NODE_0000062	2014-05-23 20:50:11.272203
NODE_0000083	2014-05-24 03:41:30.967427
NODE_0000068	2014-05-24 09:55:54.580365
NODE_0000070	2014-05-24 15:33:00.701839
NODE_0000073	2014-05-25 03:34:54.075595
NODE_0000075	2014-06-02 15:35:31.896030
NODE_0000077	2014-06-05 15:43:38.988620
NODE_0000078	2014-06-09 10:53:31.289035
NODE_0000080	2014-06-12 17:13:49.370700
NODE_0000081	2014-06-22 11:34:47.909518
Makona-G3972.1	2014-06-24 15:44:05.685397
LIBR10237	2014-07-09 15:08:43.126803
G3782	2014-06-13 16:08:46.316272
G3820	2014-06-13 15:31:18.276645
G3734	2014-06-06 17:35:25.081073
LIBR1221	2015-02-02 12:19:49.269076
G3682	2014-05-25 05:28:40.400106
NODE_0000071	2014-05-24 17:36:14.642502
EM098	2014-05-24 19:39:24.757477
G3677	2014-05-24 19:39:24.757477
LIBR10271	2014-08-25 14:33:20.185834
LIBR10202	2014-08-25 15:06:20.274068
G3823	2014-06-13 15:32:23.510972
G3799	2014-06-13 15:31:00.536729
NODE_0000024	2014-06-25 12:55:07.796632
NODE_0000025	2014-07-21 06:33:38.441163
NODE_0000026	2014-12-19 00:14:39.378663
LIBR0624	2014-12-20 16:13:13.764268
LIBR0622	2014-12-20 16:13:13.764268
LIBR10196	2014-08-25 14:43:10.169679
NODE_0000029	2014-07-13 12:13:25.880128
LIBR10270	2014-08-25 16:07:28.055421
LIBR10217	2014-09-27 17:19:42.491456
LIBR0073	2014-11-06 15:16:11.663819
LIBR0093	2014-11-06 15:47:46.146241
NODE_0000020	2014-06-20 05:09:49.229737
NODE_0000022	2014-07-04 22:32:42.026368
NODE_0000023	2014-07-29 23:44:09.495851
LIBR10053	2014-10-01 15:04:50.072022
LIBR0090	2014-11-06 18:07:00.589601
LIBR10056	2014-09-23 15:21:41.088868
LIBR10017	2014-08-18 15:53:38.477784
LIBR10180	2014-10-08 13:07:27.725831
NODE_0000033	2014-08-19 08:16:17.486573
NODE_0000057	2014-10-11 08:48:00.538331
EM_004192	2014-12-20 14:42:34.244386
EM_004555	2015-01-22 15:08:58.912355
EM_076948	2014-11-13 16:42:32.486573
EM_000921	2014-09-27 15:48:10.535890
NODE_0000010	2014-08-16 04:27:31.387940
LIBR0157	2014-11-13 14:39:40.880128
LIBR10077	2014-08-25 16:40:41.744386
NODE_0000004	2014-07-15 03:51:07.855226
LIBR10205	2014-09-16 16:43:18.629151
EM_000219	2014-09-05 15:52:29.593507
G3670	2014-05-24 17:58:33.453828
Makona-G4437.1	2014-07-20 17:01:10.125733
LIBR0605	2014-12-20 15:46:03.643800
EM120	2014-06-02 15:17:50.623170
G3769	2014-06-09 15:56:53.100587
EM096	2014-05-24 17:58:33.453828
NODE_0000054	2014-05-08 13:25:58.443605
NODE_0000056	2014-05-24 10:27:24.054566
G3686	2014-05-26 14:00:22.355805
EM_080213	2014-07-01 16:20:48.546754
NODE_0000055	2014-06-20 23:45:51.998292
EM_074461	2014-08-03 14:58:50.489503
EM_000934	2014-09-27 16:30:48.482667
NODE_0000047	2014-05-06 13:47:11.649171
NODE_0000048	2014-05-18 02:58:15.882569
G3676	2014-05-26 15:20:56.759034
EM095	2014-05-22 15:29:18.023988
EM_080253	2014-07-09 15:13:38.074952
EM_079410	2014-04-08 17:39:17.684921
EM_079442	2014-04-01 13:40:39.004670
Kissidougou-C15	2014-04-01 06:35:17.201601
NODE_0000064	2014-03-24 14:46:51.654054
NODE_0000067	2014-05-02 08:49:49.632569
NODE_0000069	2014-05-10 11:57:05.927125
EM_079750	2014-05-19 15:44:23.283692
EM_079815	2014-05-26 15:38:21.476441
EM_079914	2014-06-09 15:57:47.565309
NODE_0000040	2014-05-11 13:43:47.715455
EM_079775	2014-05-22 15:15:07.805787
V517	2014-07-23 15:34:24.336549
NODE_0000065	2014-03-25 11:47:14.648095
NODE_0000066	2014-03-26 17:32:29.946557
EM_079414	2014-03-26 19:18:19.053942
EM_079413	2014-03-26 19:18:19.053942
EM_079497	2014-04-05 15:14:51.661035
NODE_0000072	2014-03-21 04:55:57.149278
NODE_0000074	2014-03-22 01:39:47.835847
NODE_0000076	2014-03-23 01:20:10.031091
EM_079424	2014-03-24 14:31:05.901147
EM_079429	2014-03-31 08:30:45.754968
EM_079434	2014-03-31 08:30:45.754968
NODE_0000034	2014-03-22 03:43:46.697932
EM_079422	2014-03-22 20:44:20.422526
EM_079423	2014-03-22 05:56:50.713206
NODE_0000032	2014-03-21 06:15:55.626248
Gueckedou-C07	2014-03-21 06:57:38.170228
EM_079421	2014-03-26 13:32:03.370694
NODE_0000079	2014-03-22 03:50:29.602204
NODE_0000030	2014-03-26 01:55:37.095796
EM_079549	2014-04-12 15:04:01.148530
EM_079517	2014-04-08 15:00:21.888886
Gueckedou-C05	2014-03-22 09:18:38.575917
EM_079542	2014-04-12 15:24:08.394929
NODE_0000082	2014-03-12 13:16:10.754014
NODE_0000003	2014-03-14 16:15:41.976701
NODE_0000009	2014-03-16 08:38:58.383637
NODE_0000097	2014-03-27 17:24:21.509858
NODE_0000099	2014-12-09 13:04:30.591889
NODE_0000101	2014-12-29 23:27:21.960298
NODE_0000107	2015-03-16 16:56:47.463227
NODE_0000110	2015-05-08 12:51:59.291841
NODE_0000113	2015-05-29 19:48:34.067231
NODE_0000027	2015-06-04 06:26:05.481721
KG91	2015-06-20 15:09:50.719758
KG35	2015-06-06 15:45:09.549867
EM_COY_2015_017574	2015-06-09 16:07:48.675386
NODE_0000111	2015-05-25 17:11:48.561860
EM_COY_2015_017091	2015-05-26 16:14:21.561929
KG12	2015-05-26 16:14:21.561929
KG90	2015-06-17 14:38:26.083833
NODE_0000021	2015-03-22 12:04:40.740510
EM_COY_2015_014100	2015-03-25 15:46:22.059632
IPDPFHGINSP_GUI_2015_5117	2015-04-01 15:19:26.595613
IPDPFHGINSP_GUI_2015_4909	2015-03-28 16:19:34.986421
NODE_0000103	2015-03-04 02:55:43.962251
NODE_0000104	2015-03-18 00:00:38.615571
NODE_0000105	2015-04-03 19:39:00.416108
NODE_0000106	2015-04-27 04:18:05.997163
IPDPFHGINSP_GUI_2015_7070	2015-05-19 15:01:09.267427
